event_timestamp_utc,area_name,level,threshold_mm,observed_mm_mean,observed_mm_max,product,observation_timestamp_utc,forecast_max_6h_mm,notified_email,notified_telegram,note
2026-05-19T20:57:30Z,panna,forecast_warning,5,,,SRT1,,8.10,true,true,forecast 1h prossime 6h
2026-05-26T18:08:09Z,panna,forecast_warning,5,,,SRT1,,8.80,true,true,forecast 1h prossime 6h
2026-05-26T20:25:14Z,panna,forecast_warning,10,,,CUM3,,16.06,true,true,forecast 3h prossime 6h
2026-05-26T20:25:14Z,panna,forecast_alarm,15,,,CUM3,,16.06,true,true,forecast 3h prossime 6h
2026-05-26T22:00:42Z,panna,forecast_alarm,10,,,SRT1,,13.10,true,true,forecast 1h prossime 6h
2026-05-27T10:18:51Z,ruspino,forecast_warning,10,,,SRT1,,10.40,true,true,forecast 1h prossime 6h
2026-05-28T17:57:45Z,ruspino,nowcast_alarm,15,2.44,18.51,SRT1,2026-05-28T17:50:00Z,,true,true,nowcast buffer=5km
2026-05-28T17:57:45Z,ruspino,nowcast_alarm,15,0.63,15.43,SRT1,2026-05-28T17:50:00Z,,true,true,nowcast buffer=10km
2026-05-29T05:07:01Z,panna,nowcast_warning,10,0.49,13.12,SRI,2026-05-29T05:00:00Z,,true,true,nowcast buffer=10km moto=SW/3.4kmh prob=7%
2026-05-29T05:07:01Z,panna,nowcast_warning,8,0.51,10.34,SRT1,2026-05-29T05:00:00Z,,true,true,nowcast buffer=10km
2026-05-31T15:13:07Z,ruspino,nowcast_warning,8,0.47,13.35,SRT1,2026-05-31T15:05:00Z,,true,true,nowcast buffer=10km
2026-05-31T17:59:53Z,ruspino,nowcast_warning,10,1.07,12.37,SRI,2026-05-31T17:50:00Z,,true,true,nowcast buffer=5km moto=SE/20.1kmh prob=13%
2026-05-31T17:59:53Z,ruspino,nowcast_alarm,15,1.07,19.59,SRI,2026-05-31T17:50:00Z,,true,true,nowcast buffer=10km moto=E/33.4kmh prob=1%
2026-05-31T19:22:27Z,ruspino,nowcast_alarm,15,0.64,17.66,SRI,2026-05-31T19:15:00Z,,true,true,nowcast buffer=5km moto=E/3.9kmh prob=28%
2026-05-31T19:47:57Z,panna,forecast24h_warning,10,6.50,10.50,ensemble_24h,,10.50,true,true,mean=6.5 worst=10.5 metno=15.57
2026-05-31T21:51:42Z,ruspino,nowcast_emergency,25,3.59,35.70,SRI,2026-05-31T21:45:00Z,,true,true,nowcast buffer=10km moto=E/17.3kmh prob=3%
2026-05-31T22:51:31Z,ruspino,nowcast_warning,8,4.02,10.26,SRT1,2026-05-31T22:40:00Z,,true,true,nowcast buffer=5km
2026-05-31T22:51:31Z,ruspino,nowcast_warning,10,1.40,13.27,SRI,2026-05-31T22:40:00Z,,true,true,nowcast buffer=10km moto=NE/31.8kmh prob=4%
2026-06-02T05:09:18Z,panna,forecast24h_warning,10,11.27,38.99,ensemble_24h,,38.99,true,true,mean=11.3 worst=39.0 metno=6.04
2026-06-02T07:17:57Z,ruspino,forecast_warning,15,,,CUM3,,21.30,true,true,forecast 3h prossime 6h
2026-06-02T10:06:33Z,ruspino,nowcast_emergency,25,7.68,25.75,SRI,2026-06-02T09:55:00Z,,true,true,nowcast buffer=5km moto=SE/15.6kmh prob=31%
2026-06-02T11:03:16Z,panna,forecast24h_alarm,15,15.15,58.33,ensemble_24h,,58.33,true,true,mean=15.2 worst=58.3 metno=10.11
2026-06-02T16:03:22Z,cepina,warning,10,14.084,14.730,CUM3,2026-06-02T15:30:00Z,5.90,true,true,
2026-06-02T19:52:14Z,ruspino,warning,15,29.792,33.313,CUM3,2026-06-02T19:30:00Z,13.60,true,true,
2026-06-02T21:29:23Z,panna,forecast24h_emergency,20,25.13,97.73,ensemble_24h,,97.73,true,true,mean=25.1 worst=97.7 metno=8.47
2026-06-03T02:52:38Z,panna,nowcast_emergency,20,6.83,21.72,SRT1,2026-06-03T02:40:00Z,,true,true,nowcast buffer=5km
2026-06-03T02:52:38Z,panna,nowcast_emergency,20,4.42,22.56,SRT1,2026-06-03T02:40:00Z,,true,true,nowcast buffer=10km
2026-06-03T03:00:00Z,panna,storm_on_area,10.0,,62.22,CUM3,2026-06-03T03:00:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-06-03T03:05:00Z,panna,storm_cleared,10.0,,62.22,CUM3,2026-06-03T03:05:00Z,,recon,recon,ricostruito
2026-06-03T05:13:53Z,panna,warning,10,37.764,44.489,CUM3,2026-06-03T04:30:00Z,22.10,true,true,
2026-06-03T05:13:53Z,panna,alarm,15,37.764,44.489,CUM3,2026-06-03T04:30:00Z,22.10,true,true,
2026-06-03T05:13:53Z,panna,emergency,20,37.764,44.489,CUM3,2026-06-03T04:30:00Z,22.10,true,true,
2026-06-05T02:34:43Z,cepina,nowcast_emergency,25,2.23,39.94,SRI,2026-06-05T02:25:00Z,,true,true,nowcast buffer=10km moto=NW/7.4kmh prob=2%
2026-06-05T22:10:05Z,ruspino,nowcast_emergency,20,2.10,20.63,SRT1,2026-06-05T22:00:00Z,,true,true,nowcast buffer=5km
2026-06-05T22:10:05Z,ruspino,nowcast_emergency,20,1.69,22.78,SRT1,2026-06-05T22:00:00Z,,true,true,nowcast buffer=10km
2026-06-07T19:23:25Z,cepina,nowcast_warning,10,0.22,12.03,SRI,2026-06-07T19:15:00Z,,true,true,nowcast buffer=10km moto=SE/16.2kmh prob=1%
2026-06-08T20:02:41Z,ruspino,nowcast_emergency,25,1.44,25.73,SRI,2026-06-08T19:55:00Z,,true,true,nowcast buffer=5km moto=NE/9.1kmh prob=2%
2026-06-08T20:02:41Z,ruspino,nowcast_warning,8,2.14,11.38,SRT1,2026-06-08T19:55:00Z,,true,true,nowcast buffer=5km
2026-06-08T20:02:41Z,ruspino,nowcast_emergency,25,1.93,32.47,SRI,2026-06-08T19:55:00Z,,true,true,nowcast buffer=10km moto=E/16.5kmh prob=3%
2026-06-08T23:58:13Z,cepina,nowcast_alarm,15,2.21,15.66,SRT1,2026-06-08T23:50:00Z,,true,true,nowcast buffer=10km
2026-06-09T21:41:53Z,ruspino,nowcast_emergency,20,10.17,24.86,SRT1,2026-06-09T21:35:00Z,,true,true,nowcast buffer=5km
2026-06-09T21:41:53Z,ruspino,nowcast_emergency,20,6.45,40.47,SRT1,2026-06-09T21:35:00Z,,true,true,nowcast buffer=10km
2026-06-10T02:35:01Z,ruspino,nowcast_warning,10,0.18,14.70,SRI,2026-06-10T02:25:00Z,,true,true,nowcast buffer=10km moto=NE/21.1kmh prob=2%
2026-06-10T07:00:46Z,cepina,nowcast_alarm,15,4.96,16.29,SRT1,2026-06-10T06:50:00Z,,true,true,nowcast buffer=5km
2026-06-10T14:26:39Z,ruspino,nowcast_warning,10,2.89,10.26,SRI,2026-06-10T14:20:00Z,,true,true,nowcast buffer=5km
2026-06-10T14:54:54Z,cepina,storm_on_area,5.0,1.90,5.63,SRI,2026-06-10T14:45:00Z,,true,true,cella su area
2026-06-10T17:52:27Z,cepina,storm_cleared,5.0,0.00,0.00,SRI,2026-06-10T17:45:00Z,,true,true,"cella uscita dopo ~177min, caduti 0.0mm"
2026-06-19T12:47:07Z,cepina,nowcast_warning,10,0.23,11.01,SRI,2026-06-19T12:40:00Z,,true,true,nowcast buffer=5km
2026-06-20T15:29:19Z,ruspino,nowcast_alarm,15,0.47,21.28,SRI,2026-06-20T15:20:00Z,,true,true,nowcast buffer=10km moto=SE/22.3kmh prob=1%
2026-06-20T17:16:18Z,cepina,nowcast_alarm,15,4.76,17.07,SRI,2026-06-20T17:05:00Z,,true,true,nowcast buffer=5km moto=E/17.3kmh prob=3%
2026-06-20T17:16:18Z,cepina,nowcast_warning,8,1.42,8.41,SRT1,2026-06-20T17:05:00Z,,true,true,nowcast buffer=5km
2026-06-20T17:16:18Z,cepina,nowcast_alarm,15,2.10,15.89,SRI,2026-06-20T17:05:00Z,,true,true,nowcast buffer=10km moto=SE/6.5kmh prob=12%
2026-06-20T17:16:18Z,cepina,nowcast_warning,8,1.87,13.35,SRT1,2026-06-20T17:05:00Z,,true,true,nowcast buffer=10km
2026-06-20T17:16:18Z,cepina,storm_on_area,5.0,2.57,11.15,SRI,2026-06-20T17:05:00Z,,true,true,cella su area
2026-06-20T19:10:48Z,cepina,storm_cleared,5.0,0.42,1.52,SRI,2026-06-20T19:00:00Z,,true,true,"cella uscita dopo ~114min, caduti 3.5349998474121094mm"
2026-06-21T19:16:38Z,ruspino,nowcast_alarm,15,1.68,23.58,SRI,2026-06-21T19:05:00Z,,true,true,nowcast buffer=5km moto=SW/7.0kmh prob=37%
2026-06-21T19:16:38Z,ruspino,nowcast_warning,8,0.40,14.32,SRT1,2026-06-21T19:05:00Z,,true,true,nowcast buffer=10km
2026-06-22T18:41:18Z,cepina,nowcast_emergency,25,2.46,27.35,SRI,2026-06-22T18:30:00Z,,true,true,nowcast buffer=5km moto=S/14.6kmh prob=5%
2026-06-22T18:41:18Z,cepina,nowcast_emergency,25,1.01,25.52,SRI,2026-06-22T18:30:00Z,,true,true,nowcast buffer=10km
2026-06-22T18:41:18Z,cepina,storm_on_area,5.0,1.04,10.08,SRI,2026-06-22T18:30:00Z,,true,true,cella su area
2026-06-22T21:28:32Z,cepina,storm_cleared,5.0,0.00,0.00,SRI,2026-06-22T21:20:00Z,,true,true,"cella uscita dopo ~167min, caduti 0.0mm"
2026-06-25T23:08:46Z,ruspino,storm_on_area,10.0,6.67,20.89,SRI,2026-06-25T23:00:00Z,,true,true,cella su area
2026-06-26T02:31:49Z,ruspino,storm_cleared,10.0,0.00,0.00,SRI,2026-06-26T02:20:00Z,,true,true,"cella uscita dopo ~203min, caduti 0.04999999701976776mm"
2026-06-26T16:07:47Z,cepina,storm_on_area,5.0,1.12,5.42,SRI,2026-06-26T15:55:00Z,,true,true,cella su area dwell~45min rain~1mm
2026-06-26T18:23:49Z,cepina,storm_cleared,5.0,0.00,0.00,SRI,2026-06-26T18:15:00Z,,true,true,"cella uscita dopo ~136min, caduti 0.22499999403953552mm"
2026-06-27T15:08:51Z,cepina,nowcast_emergency,20,1.55,26.88,SRT1,2026-06-27T15:00:00Z,,true,true,nowcast buffer=10km
2026-06-29T00:30:00Z,ruspino,storm_on_area,10.0,,27.34,ARPA,2026-06-29T00:35:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-06-29T00:45:00Z,ruspino,storm_cleared,10.0,,27.34,ARPA,2026-06-29T00:45:00Z,,recon,recon,ricostruito
2026-06-29T10:40:00Z,cepina,storm_on_area,10.0,,10.73,ARPA,2026-06-29T10:40:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-06-29T10:45:00Z,cepina,storm_cleared,10.0,,10.73,ARPA,2026-06-29T10:45:00Z,,recon,recon,ricostruito
2026-06-29T14:30:00Z,ruspino,storm_on_area,10.0,,39.18,ARPA,2026-06-29T14:50:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-06-29T14:55:00Z,ruspino,storm_cleared,10.0,,39.18,ARPA,2026-06-29T14:55:00Z,,recon,recon,ricostruito
2026-06-29T19:44:03Z,panna,nowcast_alarm,15,1.23,19.15,SRI,2026-06-29T19:35:00Z,,true,true,nowcast buffer=10km moto=SE/5.1kmh prob=30%
2026-06-29T19:44:03Z,panna,nowcast_emergency,20,1.25,29.02,SRT1,2026-06-29T19:35:00Z,,true,true,nowcast buffer=10km
2026-06-29T21:17:36Z,panna,nowcast_emergency,25,13.91,51.82,SRI,2026-06-29T21:05:00Z,,true,true,nowcast buffer=5km moto=W/3.8kmh prob=31%
2026-06-29T21:17:36Z,panna,nowcast_alarm,15,7.28,17.35,SRT1,2026-06-29T21:05:00Z,,true,true,nowcast buffer=5km
2026-06-29T21:17:36Z,panna,nowcast_emergency,25,4.34,30.87,SRI,2026-06-29T21:05:00Z,,true,true,nowcast buffer=10km moto=SW/5.9kmh prob=2%
2026-06-29T21:17:36Z,panna,nowcast_alarm,15,3.97,18.42,SRT1,2026-06-29T21:05:00Z,,true,true,nowcast buffer=10km
2026-06-29T21:17:36Z,panna,storm_on_area,5.0,18.31,39.31,SRI,2026-06-29T21:05:00Z,,true,true,cella su area
2026-06-29T22:47:23Z,panna,storm_cleared,5.0,0.48,1.38,SRI,2026-06-29T22:40:00Z,,true,true,"cella uscita dopo ~89min, caduti 3.6499998569488525mm"
2026-07-01T11:52:12Z,ruspino,storm_on_area,10.0,26.39,63.43,SRI,2026-07-01T11:45:00Z,,true,true,cella su area dwell~87min rain~38mm
2026-07-01T13:22:28Z,cepina,warning,10,16.865,21.010,CUM3,2026-07-01T13:00:00Z,14.40,true,true,
2026-07-01T13:22:28Z,cepina,alarm,15,16.865,21.010,CUM3,2026-07-01T13:00:00Z,14.40,true,true,
2026-07-01T14:10:44Z,ruspino,storm_cleared,10.0,0.00,0.00,SRI,2026-07-01T14:00:00Z,,true,true,"cella uscita dopo ~138min, caduti 0.0mm"
2026-07-01T14:10:44Z,cepina,storm_on_area,5.0,1.81,5.70,SRI,2026-07-01T14:00:00Z,,true,true,cella su area
2026-07-01T19:39:57Z,cepina,storm_cleared,5.0,0.00,0.00,SRI,2026-07-01T19:30:00Z,,true,true,"cella uscita dopo ~329min, caduti 0.0mm"
2026-07-02T06:31:42Z,panna,nowcast_warning,10,2.18,10.68,SRI,2026-07-02T06:25:00Z,,true,true,nowcast buffer=5km moto=W/22.9kmh prob=49%
2026-07-02T06:31:42Z,panna,storm_on_area,5.0,2.00,5.44,SRI,2026-07-02T06:25:00Z,,true,true,cella su area
2026-07-02T09:53:10Z,panna,storm_cleared,5.0,0.00,0.00,SRI,2026-07-02T09:45:00Z,,true,true,"cella uscita dopo ~201min, caduti 0.0mm"
2026-07-10T16:15:07Z,panna,storm_on_area,5.0,14.37,55.40,SRI,2026-07-10T16:05:00Z,,true,true,cella su area dwell~138min rain~33mm
2026-07-10T16:45:00Z,cepina,storm_on_area,10.0,,12.39,ARPA,2026-07-10T16:45:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-07-10T16:50:00Z,cepina,storm_cleared,10.0,,12.39,ARPA,2026-07-10T16:50:00Z,,recon,recon,ricostruito
2026-07-10T18:17:15Z,panna,storm_cleared,5.0,0.00,0.00,SRI,2026-07-10T18:05:00Z,,true,true,"cella uscita dopo ~122min, caduti 0.1850000023841858mm"
2026-07-10T20:14:46Z,ruspino,storm_on_area,10.0,5.04,23.20,SRI,2026-07-10T20:05:00Z,,true,true,cella su area dwell~100min rain~8mm
2026-07-10T22:51:58Z,ruspino,storm_cleared,10.0,0.12,0.32,SRI,2026-07-10T22:40:00Z,,true,true,"cella uscita dopo ~157min, caduti 6.170000076293945mm"
2026-07-10T22:51:58Z,cepina,storm_on_area,5.0,1.44,7.73,SRI,2026-07-10T22:40:00Z,,true,true,cella su area
2026-07-10T23:50:07Z,cepina,storm_cleared,5.0,0.15,1.11,SRI,2026-07-10T23:40:00Z,,true,true,"cella uscita dopo ~58min, caduti 3.929999828338623mm"
2026-07-11T13:45:00Z,ruspino,storm_on_area,10.0,,10.73,ARPA,2026-07-11T13:45:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-07-11T13:50:00Z,ruspino,storm_cleared,10.0,,10.73,ARPA,2026-07-11T13:50:00Z,,recon,recon,ricostruito
2026-07-11T18:46:06Z,ruspino,storm_on_area,10.0,30.90,85.63,SRI,2026-07-11T18:35:00Z,,true,true,cella su area
2026-07-11T19:59:26Z,ruspino,storm_cleared,10.0,0.51,1.20,SRI,2026-07-11T19:50:00Z,,true,true,"cella uscita dopo ~73min, caduti 13.969999313354492mm"
2026-07-14T21:48:22Z,ruspino,storm_on_area,10.0,5.44,12.68,SRI,2026-07-14T21:40:00Z,,true,true,cella su area
2026-07-14T23:42:38Z,ruspino,storm_cleared,10.0,0.03,0.14,SRI,2026-07-14T23:35:00Z,,true,true,"cella uscita dopo ~114min, caduti 18.5049991607666mm"
2026-07-15T11:49:20Z,cepina,forecast_warning,5,,,SRT1,,8.40,true,true,forecast 1h prossime 6h
2026-07-15T13:14:48Z,cepina,storm_on_area,5.0,1.85,5.73,SRI,2026-07-15T13:05:00Z,,true,true,cella su area dwell~154min rain~5mm
2026-07-15T15:18:53Z,cepina,storm_cleared,5.0,0.00,0.00,SRI,2026-07-15T15:10:00Z,,true,true,"cella uscita dopo ~124min, caduti 0.09999999403953552mm"
2026-07-16T22:50:04Z,cepina,storm_on_area,5.0,1.52,5.38,SRI,2026-07-16T22:40:00Z,,true,true,cella su area
2026-07-16T23:51:34Z,cepina,storm_cleared,5.0,0.00,0.00,SRI,2026-07-16T23:40:00Z,,true,true,"cella uscita dopo ~61min, caduti 0.8949999809265137mm"
2026-07-17T01:51:00Z,ruspino,storm_on_area,10.0,8.86,26.85,SRI,2026-07-17T01:40:00Z,,true,true,cella su area
2026-07-17T04:55:59Z,ruspino,storm_cleared,10.0,0.68,1.48,SRI,2026-07-17T04:45:00Z,,true,true,"cella uscita dopo ~184min, caduti 8.220000267028809mm"
2026-07-17T04:55:59Z,cepina,storm_on_area,5.0,2.05,5.97,SRI,2026-07-17T04:45:00Z,,true,true,cella su area
2026-07-17T07:12:29Z,cepina,storm_cleared,5.0,0.00,0.00,SRI,2026-07-17T07:00:00Z,,true,true,"cella uscita dopo ~136min, caduti 0.0mm"
2026-07-18T19:59:23Z,ruspino,storm_on_area,10.0,5.31,25.41,SRI,2026-07-18T19:50:00Z,,true,true,cella su area
2026-07-18T21:41:11Z,ruspino,storm_cleared,10.0,0.00,0.00,SRI,2026-07-18T21:30:00Z,,true,true,"cella uscita dopo ~101min, caduti 15.0649995803833mm"
2026-07-20T00:40:00Z,ruspino,storm_on_area,10.0,,115.31,ARPA,2026-07-20T03:15:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-07-20T04:00:00Z,ruspino,storm_cleared,10.0,,115.31,ARPA,2026-07-20T04:00:00Z,,recon,recon,ricostruito
2026-07-20T18:29:20Z,cepina,storm_on_area,5.0,1.82,7.24,SRI,2026-07-20T18:20:00Z,,true,true,cella su area
2026-07-20T18:29:20Z,cepina,storm_on_area,5.0,2.40,10.56,SRI,2026-07-20T18:15:00Z,,true,true,catch-up: cella rilevata a posteriori +14min
2026-07-20T20:09:48Z,cepina,storm_cleared,5.0,0.00,0.00,SRI,2026-07-20T20:00:00Z,,true,true,"cella uscita dopo ~100min, caduti 0.0mm"
2026-07-21T07:45:00Z,ruspino,storm_on_area,10.0,,27.34,ARPA,2026-07-21T07:45:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-07-21T08:00:00Z,ruspino,storm_cleared,10.0,,27.34,ARPA,2026-07-21T08:00:00Z,,recon,recon,ricostruito
2026-07-21T18:30:38Z,panna,nowcast_warning,8,0.69,12.74,SRT1,2026-07-21T18:20:00Z,,true,true,nowcast buffer=10km
2026-07-25T22:51:21Z,cepina,storm_on_area,5.0,1.66,5.87,SRI,2026-07-25T22:40:00Z,,true,true,cella su area
2026-07-25T22:51:21Z,cepina,storm_on_area,5.0,1.80,6.09,SRI,2026-07-25T22:35:00Z,,true,true,catch-up: cella rilevata a posteriori +16min
2026-07-25T22:51:21Z,cepina,storm_on_area,5.0,1.44,5.03,SRI,2026-07-25T22:30:00Z,,true,true,catch-up: cella rilevata a posteriori +21min
2026-07-25T23:11:16Z,cepina,storm_on_area,5.0,2.38,8.30,SRI,2026-07-25T22:55:00Z,,true,true,catch-up: cella rilevata a posteriori +16min
2026-07-25T23:11:16Z,cepina,storm_on_area,5.0,1.52,5.68,SRI,2026-07-25T22:50:00Z,,true,true,catch-up: cella rilevata a posteriori +21min
2026-07-25T23:11:16Z,cepina,storm_on_area,5.0,1.66,5.87,SRI,2026-07-25T22:40:00Z,,true,true,catch-up: cella rilevata a posteriori +31min
2026-07-25T23:12:57Z,cepina,storm_on_area,5.0,3.59,12.85,SRI,2026-07-25T23:00:00Z,,true,true,catch-up: cella rilevata a posteriori +12min
2026-07-25T23:31:27Z,cepina,storm_cleared,5.0,0.57,1.92,SRI,2026-07-25T23:20:00Z,,true,true,"cella uscita dopo ~40min, caduti 4.509999752044678mm"
2026-07-25T23:31:27Z,cepina,storm_on_area,5.0,1.80,7.24,SRI,2026-07-25T23:05:00Z,,true,true,catch-up: cella rilevata a posteriori +26min
2026-07-26T03:45:32Z,panna,nowcast_warning,10,0.76,12.34,SRI,2026-07-26T03:35:00Z,,true,true,nowcast buffer=10km moto=N/26.8kmh prob=5%
2026-07-26T03:45:32Z,panna,storm_on_area,5.0,3.53,13.72,SRI,2026-07-26T03:35:00Z,,true,true,cella su area dwell~143min
2026-07-26T03:45:32Z,panna,storm_on_area,5.0,5.35,24.18,SRI,2026-07-26T03:30:00Z,,true,true,catch-up: cella rilevata a posteriori +15min
2026-07-26T03:45:32Z,panna,storm_on_area,5.0,4.58,27.77,SRI,2026-07-26T03:25:00Z,,true,true,catch-up: cella rilevata a posteriori +20min
2026-07-26T04:05:30Z,panna,nowcast_alarm,15,1.57,15.73,SRI,2026-07-26T03:55:00Z,,true,true,nowcast buffer=5km moto=SW/40.5kmh prob=4%
2026-07-26T04:05:30Z,panna,nowcast_warning,8,1.91,8.35,SRT1,2026-07-26T03:55:00Z,,true,true,nowcast buffer=5km
2026-07-26T04:05:30Z,panna,storm_on_area,5.0,3.26,8.79,SRI,2026-07-26T03:45:00Z,,true,true,catch-up: cella rilevata a posteriori +20min
2026-07-26T04:05:30Z,panna,storm_on_area,5.0,3.26,8.46,SRI,2026-07-26T03:40:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-07-26T04:05:30Z,panna,storm_on_area,5.0,3.53,13.72,SRI,2026-07-26T03:35:00Z,,true,true,catch-up: cella rilevata a posteriori +30min
2026-07-26T04:25:25Z,panna,storm_on_area,5.0,3.05,8.05,SRI,2026-07-26T04:10:00Z,,true,true,catch-up: cella rilevata a posteriori +15min
2026-07-26T04:25:25Z,panna,storm_on_area,5.0,3.42,10.73,SRI,2026-07-26T04:05:00Z,,true,true,catch-up: cella rilevata a posteriori +20min
2026-07-26T04:25:25Z,panna,storm_on_area,5.0,4.42,15.74,SRI,2026-07-26T04:00:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-07-26T04:39:37Z,panna,storm_on_area,5.0,6.11,19.85,SRI,2026-07-26T04:25:00Z,,true,true,catch-up: cella rilevata a posteriori +14min
2026-07-26T04:39:37Z,panna,storm_on_area,5.0,2.87,9.84,SRI,2026-07-26T04:20:00Z,,true,true,catch-up: cella rilevata a posteriori +19min
2026-07-26T04:39:37Z,panna,storm_on_area,5.0,4.40,14.29,SRI,2026-07-26T04:15:00Z,,true,true,catch-up: cella rilevata a posteriori +24min
2026-07-26T05:00:33Z,panna,storm_on_area,5.0,4.26,14.23,SRI,2026-07-26T04:45:00Z,,true,true,catch-up: cella rilevata a posteriori +15min
2026-07-26T05:00:33Z,panna,storm_on_area,5.0,3.49,9.93,SRI,2026-07-26T04:40:00Z,,true,true,catch-up: cella rilevata a posteriori +20min
2026-07-26T05:00:33Z,panna,storm_on_area,5.0,5.03,15.23,SRI,2026-07-26T04:35:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-07-26T05:00:33Z,panna,storm_on_area,5.0,3.78,11.06,SRI,2026-07-26T04:30:00Z,,true,true,catch-up: cella rilevata a posteriori +30min
2026-07-26T05:20:27Z,panna,warning,10,16.872,19.900,CUM3,2026-07-26T05:00:00Z,1.40,true,true,
2026-07-26T05:20:27Z,panna,alarm,15,16.872,19.900,CUM3,2026-07-26T05:00:00Z,1.40,true,true,
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,3.84,10.14,SRI,2026-07-26T05:25:00Z,,true,true,catch-up: cella rilevata a posteriori +15min
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,4.05,9.93,SRI,2026-07-26T05:20:00Z,,true,true,catch-up: cella rilevata a posteriori +20min
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,3.58,8.04,SRI,2026-07-26T05:15:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,5.20,11.63,SRI,2026-07-26T05:10:00Z,,true,true,catch-up: cella rilevata a posteriori +30min
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,4.33,11.47,SRI,2026-07-26T05:05:00Z,,true,true,catch-up: cella rilevata a posteriori +35min
