forecast_made_at_utc,area_name,source,horizon,forecast_mm,observed_mm,observed_at_utc,bias_mm,abs_error_mm,hit_warning,missed_warning,false_alarm_warning
2026-06-06T14:14:47Z,cepina,openmeteo,1h,2.30,0.00,2026-06-06T15:00:00Z,-2.30,2.30,0,0,0
2026-06-06T14:14:47Z,cepina,openmeteo,3h,2.40,0.00,2026-06-06T18:00:00Z,-2.40,2.40,0,0,0
2026-06-06T14:14:47Z,cepina,metno,1h,1.00,0.00,2026-06-06T15:00:00Z,-1.00,1.00,0,0,0
2026-06-06T14:14:47Z,cepina,metno,3h,1.60,0.00,2026-06-06T18:00:00Z,-1.60,1.60,0,0,0
2026-06-06T14:14:45Z,panna,openmeteo,1h,0.00,0.00,2026-06-06T15:00:00Z,+0.00,0.00,0,0,0
2026-06-06T14:14:45Z,panna,openmeteo,3h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T14:14:45Z,panna,metno,1h,0.00,0.00,2026-06-06T15:00:00Z,+0.00,0.00,0,0,0
2026-06-06T14:14:45Z,panna,metno,3h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T14:14:42Z,ruspino,openmeteo,1h,3.60,0.00,2026-06-06T15:00:00Z,-3.60,3.60,0,0,0
2026-06-06T14:14:42Z,ruspino,openmeteo,3h,6.60,0.00,2026-06-06T18:00:00Z,-6.60,6.60,0,0,0
2026-06-06T14:14:42Z,ruspino,metno,1h,0.00,0.00,2026-06-06T15:00:00Z,+0.00,0.00,0,0,0
2026-06-06T14:14:42Z,ruspino,metno,3h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T15:41:16Z,cepina,openmeteo,1h,2.30,0.00,2026-06-06T18:00:00Z,-2.30,2.30,0,0,0
2026-06-06T15:41:16Z,cepina,openmeteo,3h,2.40,0.00,2026-06-06T18:00:00Z,-2.40,2.40,0,0,0
2026-06-06T15:41:16Z,cepina,metno,1h,1.00,0.00,2026-06-06T18:00:00Z,-1.00,1.00,0,0,0
2026-06-06T15:41:16Z,cepina,metno,3h,1.30,0.00,2026-06-06T18:00:00Z,-1.30,1.30,0,0,0
2026-06-06T15:41:14Z,panna,openmeteo,1h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T15:41:14Z,panna,openmeteo,3h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T15:41:14Z,panna,metno,1h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T15:41:14Z,panna,metno,3h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T15:41:11Z,ruspino,openmeteo,1h,3.60,0.00,2026-06-06T18:00:00Z,-3.60,3.60,0,0,0
2026-06-06T15:41:11Z,ruspino,openmeteo,3h,6.60,0.00,2026-06-06T18:00:00Z,-6.60,6.60,0,0,0
2026-06-06T15:41:11Z,ruspino,metno,1h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T15:41:11Z,ruspino,metno,3h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T18:01:47Z,cepina,openmeteo,1h,0.80,0.00,2026-06-06T18:00:00Z,-0.80,0.80,0,0,0
2026-06-06T18:01:47Z,cepina,metno,1h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T18:01:45Z,panna,openmeteo,1h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T18:01:45Z,panna,metno,1h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
2026-06-06T18:01:41Z,ruspino,openmeteo,1h,3.60,0.00,2026-06-06T18:00:00Z,-3.60,3.60,0,0,0
2026-06-06T18:01:41Z,ruspino,metno,1h,0.00,0.00,2026-06-06T18:00:00Z,+0.00,0.00,0,0,0
