sensor_id,ts_utc,mm
2278,2026-07-21T08:50:00Z,0.40
2278,2026-07-21T09:00:00Z,0.80
2278,2026-07-21T09:10:00Z,0.20
2278,2026-07-21T09:30:00Z,0.20
8010,2026-07-20T19:30:00Z,0.20
8010,2026-07-20T19:40:00Z,0.40
8010,2026-07-20T19:50:00Z,1.20
8010,2026-07-20T20:00:00Z,0.20
8010,2026-07-20T23:00:00Z,0.20
2278,2026-07-20T03:30:00Z,1.00
2278,2026-07-20T03:40:00Z,8.40
2278,2026-07-20T03:50:00Z,14.40
2278,2026-07-20T04:00:00Z,2.80
2278,2026-07-20T04:10:00Z,1.80
2278,2026-07-20T04:20:00Z,3.40
2278,2026-07-20T04:30:00Z,1.20
2278,2026-07-20T04:40:00Z,0.20
2278,2026-07-20T04:50:00Z,0.20
2278,2026-07-20T05:00:00Z,0.80
2278,2026-07-20T05:30:00Z,0.20
2278,2026-07-18T20:30:00Z,1.60
2278,2026-07-18T20:40:00Z,0.20
2278,2026-07-18T20:50:00Z,0.20
2278,2026-07-18T21:10:00Z,0.40
2278,2026-07-18T21:20:00Z,5.00
2278,2026-07-18T21:30:00Z,0.40
2278,2026-07-18T21:40:00Z,0.20
2278,2026-07-18T21:50:00Z,8.40
2278,2026-07-18T22:00:00Z,1.20
2278,2026-07-18T22:10:00Z,0.40
2278,2026-07-18T22:20:00Z,1.40
2278,2026-07-18T22:30:00Z,0.60
2278,2026-07-18T22:50:00Z,0.20
2278,2026-07-19T03:40:00Z,0.20
8010,2026-07-17T00:00:00Z,1.40
8010,2026-07-17T00:10:00Z,0.20
8010,2026-07-17T02:10:00Z,0.20
8010,2026-07-17T03:20:00Z,0.80
8010,2026-07-17T03:30:00Z,0.20
8010,2026-07-17T03:50:00Z,0.60
8010,2026-07-17T04:00:00Z,1.00
8010,2026-07-17T04:40:00Z,0.20
8010,2026-07-17T04:50:00Z,0.40
8010,2026-07-17T05:30:00Z,0.40
8010,2026-07-17T05:40:00Z,0.20
8010,2026-07-17T05:50:00Z,0.20
8010,2026-07-17T08:00:00Z,0.20
2278,2026-07-17T02:50:00Z,2.20
2278,2026-07-17T03:00:00Z,14.20
2278,2026-07-17T03:10:00Z,5.40
2278,2026-07-17T03:40:00Z,0.20
2278,2026-07-17T04:00:00Z,1.40
2278,2026-07-17T04:10:00Z,3.20
2278,2026-07-17T04:20:00Z,6.60
2278,2026-07-17T04:30:00Z,0.60
2278,2026-07-17T04:40:00Z,0.60
2278,2026-07-17T04:50:00Z,0.20
2278,2026-07-17T05:00:00Z,0.80
2278,2026-07-17T05:10:00Z,0.20
2278,2026-07-17T05:20:00Z,0.20
2278,2026-07-17T05:30:00Z,0.40
2278,2026-07-17T05:40:00Z,0.20
2278,2026-07-17T07:40:00Z,0.20
8010,2026-07-15T02:40:00Z,0.20
8010,2026-07-15T05:40:00Z,0.40
8010,2026-07-15T05:50:00Z,0.40
8010,2026-07-15T06:00:00Z,0.40
8010,2026-07-15T06:20:00Z,0.20
8010,2026-07-15T11:30:00Z,0.20
8010,2026-07-15T13:50:00Z,0.60
8010,2026-07-15T14:00:00Z,2.40
8010,2026-07-15T14:10:00Z,3.40
8010,2026-07-15T14:20:00Z,1.80
8010,2026-07-15T14:30:00Z,0.20
8010,2026-07-15T14:40:00Z,0.20
8010,2026-07-16T01:50:00Z,0.20
8010,2026-07-16T02:00:00Z,1.20
8010,2026-07-16T02:10:00Z,0.20
8010,2026-07-14T23:10:00Z,0.20
2278,2026-07-14T20:40:00Z,0.80
2278,2026-07-14T20:50:00Z,0.20
2278,2026-07-14T23:00:00Z,0.20
2278,2026-07-14T23:10:00Z,0.40
2278,2026-07-14T23:20:00Z,2.40
2278,2026-07-14T23:30:00Z,6.80
2278,2026-07-14T23:40:00Z,7.40
2278,2026-07-14T23:50:00Z,1.80
2278,2026-07-15T00:00:00Z,0.20
2278,2026-07-15T00:10:00Z,0.20
2278,2026-07-15T04:00:00Z,0.20
2278,2026-07-11T15:40:00Z,0.20
2278,2026-07-11T16:00:00Z,0.40
2278,2026-07-11T16:10:00Z,0.40
2278,2026-07-11T16:20:00Z,0.20
2278,2026-07-11T16:30:00Z,0.20
2278,2026-07-11T17:00:00Z,0.20
2278,2026-07-11T19:30:00Z,1.60
2278,2026-07-11T19:40:00Z,2.40
2278,2026-07-11T19:50:00Z,6.20
2278,2026-07-11T20:00:00Z,11.40
2278,2026-07-11T20:10:00Z,1.40
2278,2026-07-11T20:20:00Z,0.80
2278,2026-07-11T20:30:00Z,0.20
2278,2026-07-11T20:50:00Z,0.20
2278,2026-07-11T21:00:00Z,0.20
2278,2026-07-11T22:20:00Z,0.20
2278,2026-07-12T05:00:00Z,0.20
2278,2026-07-11T03:10:00Z,0.20
8010,2026-07-10T17:30:00Z,0.40
8010,2026-07-10T17:40:00Z,1.80
8010,2026-07-10T17:50:00Z,4.00
8010,2026-07-10T18:00:00Z,0.20
8010,2026-07-10T18:10:00Z,0.20
8010,2026-07-10T18:20:00Z,0.20
8010,2026-07-10T18:30:00Z,0.20
8010,2026-07-10T23:20:00Z,0.60
8010,2026-07-10T23:30:00Z,2.00
8010,2026-07-10T23:40:00Z,0.40
8010,2026-07-10T23:50:00Z,3.60
8010,2026-07-11T00:00:00Z,1.80
8010,2026-07-11T00:10:00Z,0.40
8010,2026-07-11T00:20:00Z,0.20
8010,2026-07-11T02:50:00Z,0.20
2278,2026-07-10T21:20:00Z,0.40
2278,2026-07-10T21:30:00Z,0.60
2278,2026-07-10T21:40:00Z,0.20
2278,2026-07-10T21:50:00Z,0.20
2278,2026-07-10T22:00:00Z,0.20
2278,2026-07-10T22:20:00Z,0.20
2278,2026-07-10T22:30:00Z,0.40
2278,2026-07-10T22:40:00Z,0.80
2278,2026-07-10T22:50:00Z,0.60
2278,2026-07-10T23:00:00Z,0.40
2278,2026-07-10T23:10:00Z,0.40
2278,2026-07-10T23:30:00Z,0.20
8010,2026-07-01T11:10:00Z,4.00
8010,2026-07-01T11:20:00Z,3.20
8010,2026-07-01T11:30:00Z,3.20
8010,2026-07-01T11:40:00Z,0.80
8010,2026-07-01T11:50:00Z,0.60
8010,2026-07-01T12:00:00Z,0.20
8010,2026-07-01T12:10:00Z,0.20
8010,2026-07-01T12:20:00Z,1.00
8010,2026-07-01T12:30:00Z,1.40
8010,2026-07-01T12:40:00Z,1.00
8010,2026-07-01T12:50:00Z,1.40
8010,2026-07-01T13:00:00Z,1.40
8010,2026-07-01T13:10:00Z,0.80
8010,2026-07-01T13:20:00Z,1.20
8010,2026-07-01T13:30:00Z,1.00
8010,2026-07-01T13:40:00Z,1.40
8010,2026-07-01T13:50:00Z,1.20
8010,2026-07-01T14:00:00Z,0.40
8010,2026-07-01T14:10:00Z,0.60
8010,2026-07-01T14:20:00Z,0.40
8010,2026-07-01T14:30:00Z,0.40
8010,2026-07-01T14:40:00Z,0.40
8010,2026-07-01T14:50:00Z,0.40
8010,2026-07-01T15:00:00Z,0.40
8010,2026-07-01T15:10:00Z,0.40
8010,2026-07-01T15:20:00Z,0.60
8010,2026-07-01T15:30:00Z,0.40
8010,2026-07-01T15:40:00Z,0.40
8010,2026-07-01T15:50:00Z,1.00
8010,2026-07-01T16:00:00Z,0.40
8010,2026-07-01T16:40:00Z,0.20
2278,2026-07-01T12:50:00Z,2.60
2278,2026-07-01T13:00:00Z,18.60
2278,2026-07-01T13:10:00Z,8.00
2278,2026-07-01T13:20:00Z,1.20
2278,2026-07-01T16:00:00Z,0.20
2278,2026-07-01T16:30:00Z,0.20
2278,2026-07-01T16:40:00Z,0.20
2278,2026-07-01T16:50:00Z,0.20
2278,2026-07-01T17:20:00Z,0.20
2278,2026-06-29T02:00:00Z,0.40
2278,2026-06-29T02:20:00Z,0.20
2278,2026-06-29T15:50:00Z,4.20
2278,2026-06-29T16:00:00Z,5.20
2278,2026-06-29T16:10:00Z,15.20
2278,2026-06-29T16:20:00Z,4.80
2278,2026-06-29T16:30:00Z,1.00
2278,2026-06-29T16:40:00Z,0.40
2278,2026-06-29T16:50:00Z,0.20
2278,2026-06-29T17:00:00Z,0.20
2278,2026-06-29T17:20:00Z,0.20
2278,2026-06-29T17:30:00Z,0.60
2278,2026-06-29T17:40:00Z,0.20
2278,2026-06-29T17:50:00Z,0.20
2278,2026-06-29T18:00:00Z,0.20
2278,2026-06-29T18:30:00Z,0.20
2278,2026-06-29T01:40:00Z,2.40
2278,2026-06-29T01:50:00Z,0.60
8010,2026-06-29T12:10:00Z,1.00
8010,2026-06-29T12:20:00Z,1.40
8010,2026-06-29T12:30:00Z,0.20
8010,2026-06-29T13:00:00Z,0.20
8010,2026-06-29T13:20:00Z,0.20
8010,2026-06-29T13:30:00Z,0.20
8010,2026-06-29T13:50:00Z,0.20
8010,2026-06-29T18:50:00Z,0.20
8010,2026-06-29T19:10:00Z,0.20
8010,2026-06-29T20:10:00Z,0.20
2278,2026-06-25T23:00:00Z,0.20
2278,2026-06-25T23:10:00Z,0.60
2278,2026-06-25T23:20:00Z,0.20
2278,2026-06-25T23:30:00Z,0.40
2278,2026-06-25T23:40:00Z,0.20
2278,2026-06-25T23:50:00Z,0.60
2278,2026-06-26T00:00:00Z,2.60
2278,2026-06-26T00:10:00Z,7.00
2278,2026-06-26T00:20:00Z,2.40
2278,2026-06-26T00:30:00Z,0.80
2278,2026-06-26T00:40:00Z,1.60
2278,2026-06-26T00:50:00Z,1.20
2278,2026-06-26T01:00:00Z,0.60
2278,2026-06-26T01:20:00Z,0.20
2278,2026-06-26T01:50:00Z,0.20
8010,2026-06-22T17:00:00Z,0.80
8010,2026-06-22T17:10:00Z,0.40
8010,2026-06-22T17:20:00Z,0.40
8010,2026-06-22T18:20:00Z,0.20
8010,2026-06-22T19:50:00Z,0.20
8010,2026-06-20T18:10:00Z,0.40
8010,2026-06-20T18:40:00Z,0.20
8010,2026-06-20T18:50:00Z,0.20
8010,2026-06-20T19:20:00Z,0.20
8010,2026-06-20T19:30:00Z,0.20
8010,2026-06-20T19:40:00Z,0.20
8010,2026-06-20T19:50:00Z,0.40
8010,2026-06-20T20:00:00Z,0.40
8010,2026-06-20T20:10:00Z,0.20
8010,2026-06-20T20:20:00Z,0.60
8010,2026-06-20T21:00:00Z,0.20
8010,2026-06-19T00:50:00Z,0.20
8010,2026-06-19T15:00:00Z,0.40
8010,2026-06-19T15:20:00Z,0.20
8010,2026-06-19T18:40:00Z,0.20
8010,2026-06-10T05:00:00Z,0.60
8010,2026-06-10T05:10:00Z,0.80
8010,2026-06-10T05:20:00Z,1.20
8010,2026-06-10T05:30:00Z,0.80
8010,2026-06-10T05:40:00Z,0.40
8010,2026-06-10T05:50:00Z,0.20
8010,2026-06-10T06:50:00Z,0.20
8010,2026-06-10T07:10:00Z,1.20
8010,2026-06-10T07:20:00Z,1.20
8010,2026-06-10T07:30:00Z,1.60
8010,2026-06-10T07:40:00Z,1.20
8010,2026-06-10T07:50:00Z,1.20
8010,2026-06-10T08:00:00Z,0.60
8010,2026-06-10T08:10:00Z,0.40
8010,2026-06-10T08:20:00Z,1.20
8010,2026-06-10T08:30:00Z,1.00
8010,2026-06-10T08:40:00Z,0.60
8010,2026-06-10T08:50:00Z,0.60
8010,2026-06-10T09:00:00Z,1.00
8010,2026-06-10T09:10:00Z,0.40
8010,2026-06-10T09:20:00Z,0.20
8010,2026-06-10T10:30:00Z,0.20
8010,2026-06-10T11:10:00Z,0.20
8010,2026-06-10T11:20:00Z,0.40
8010,2026-06-10T11:30:00Z,0.60
8010,2026-06-10T11:40:00Z,0.40
8010,2026-06-10T11:50:00Z,0.20
8010,2026-06-10T12:00:00Z,0.20
8010,2026-06-10T12:50:00Z,0.20
8010,2026-06-10T15:50:00Z,0.80
8010,2026-06-10T16:00:00Z,0.40
8010,2026-06-10T17:40:00Z,0.40
8010,2026-06-10T17:50:00Z,0.20
8010,2026-06-10T18:00:00Z,0.20
8010,2026-06-10T18:20:00Z,0.20
8010,2026-06-10T18:30:00Z,0.20
8010,2026-06-10T18:40:00Z,0.20
8010,2026-06-10T18:50:00Z,0.20
8010,2026-06-10T19:10:00Z,0.20
8010,2026-06-10T20:10:00Z,0.20
8010,2026-06-11T06:30:00Z,0.20
8010,2026-06-11T06:50:00Z,0.20
8010,2026-06-10T02:20:00Z,0.40
8010,2026-06-10T02:30:00Z,1.00
8010,2026-06-10T02:40:00Z,1.00
8010,2026-06-10T02:50:00Z,1.40
8010,2026-06-10T03:00:00Z,1.20
8010,2026-06-10T03:10:00Z,1.00
8010,2026-06-10T03:20:00Z,0.40
8010,2026-06-10T03:30:00Z,0.20
8010,2026-06-10T03:40:00Z,0.20
8010,2026-06-10T04:10:00Z,0.20
8010,2026-06-10T04:20:00Z,0.20
8010,2026-06-10T04:30:00Z,0.60
8010,2026-06-10T04:40:00Z,0.80
8010,2026-06-10T04:50:00Z,0.40
2278,2026-06-10T04:10:00Z,0.20
2278,2026-06-10T04:20:00Z,0.20
2278,2026-06-10T07:30:00Z,0.20
2278,2026-06-10T07:50:00Z,0.20
2278,2026-06-10T08:00:00Z,3.40
2278,2026-06-10T08:10:00Z,5.80
2278,2026-06-10T08:20:00Z,6.60
2278,2026-06-10T08:30:00Z,2.40
2278,2026-06-10T08:40:00Z,0.40
2278,2026-06-10T09:50:00Z,0.40
2278,2026-06-10T15:40:00Z,0.40
2278,2026-06-10T15:50:00Z,0.40
2278,2026-06-10T16:00:00Z,0.60
2278,2026-06-10T16:10:00Z,0.20
2278,2026-06-10T16:20:00Z,0.20
8010,2026-06-09T18:10:00Z,0.20
8010,2026-06-09T18:20:00Z,0.20
8010,2026-06-09T18:30:00Z,0.40
8010,2026-06-09T18:40:00Z,1.40
8010,2026-06-09T19:00:00Z,0.20
8010,2026-06-09T19:50:00Z,0.20
8010,2026-06-09T21:30:00Z,1.40
8010,2026-06-09T21:40:00Z,1.60
8010,2026-06-09T21:50:00Z,1.20
8010,2026-06-09T22:00:00Z,0.40
8010,2026-06-09T22:50:00Z,0.20
2278,2026-06-09T22:00:00Z,4.20
2278,2026-06-09T22:10:00Z,5.40
8010,2026-06-08T23:10:00Z,0.20
8010,2026-06-08T23:30:00Z,0.60
8010,2026-06-08T23:40:00Z,1.00
8010,2026-06-08T23:50:00Z,0.80
8010,2026-06-09T00:00:00Z,1.20
8010,2026-06-09T00:10:00Z,0.60
8010,2026-06-09T00:20:00Z,0.20
8010,2026-06-09T00:30:00Z,0.20
2278,2026-06-08T20:30:00Z,0.40
2278,2026-06-08T20:50:00Z,0.20
2278,2026-06-08T21:10:00Z,0.20
2278,2026-06-05T23:50:00Z,0.80
2278,2026-06-06T00:00:00Z,0.20
2278,2026-06-06T00:10:00Z,0.40
2278,2026-06-06T00:20:00Z,0.20
2278,2026-06-06T00:30:00Z,0.60
2278,2026-06-06T00:50:00Z,0.20
2278,2026-06-06T02:40:00Z,0.20
2278,2026-06-06T03:00:00Z,0.20
2278,2026-06-06T03:20:00Z,0.20
2278,2026-06-06T03:30:00Z,0.20
2278,2026-06-06T03:40:00Z,0.40
2278,2026-06-06T03:50:00Z,0.60
2278,2026-06-06T04:00:00Z,0.40
2278,2026-06-06T04:10:00Z,0.20
2278,2026-06-06T04:20:00Z,0.20
2278,2026-06-06T05:00:00Z,0.20
2278,2026-06-06T05:30:00Z,0.20
2278,2026-06-06T06:00:00Z,1.40
2278,2026-06-06T06:10:00Z,0.40
2278,2026-06-06T06:20:00Z,0.20
2278,2026-06-06T07:00:00Z,0.20
2278,2026-06-06T07:10:00Z,0.20
2278,2026-06-06T07:20:00Z,0.60
2278,2026-06-06T07:30:00Z,1.00
2278,2026-06-06T07:40:00Z,0.40
2278,2026-06-06T07:50:00Z,0.40
2278,2026-06-06T08:00:00Z,1.00
2278,2026-06-06T08:10:00Z,0.60
2278,2026-06-06T08:20:00Z,0.60
2278,2026-06-06T08:30:00Z,1.40
2278,2026-06-06T08:40:00Z,0.40
2278,2026-06-06T09:10:00Z,0.20
8010,2026-06-04T21:40:00Z,0.20
8010,2026-06-04T21:50:00Z,0.40
8010,2026-06-04T22:00:00Z,0.80
8010,2026-06-04T22:10:00Z,0.80
8010,2026-06-04T22:20:00Z,1.00
8010,2026-06-04T22:30:00Z,0.20
8010,2026-06-04T22:40:00Z,0.20
8010,2026-06-04T22:50:00Z,0.20
8010,2026-06-04T23:10:00Z,0.20
8010,2026-06-04T23:30:00Z,0.20
8010,2026-06-04T23:40:00Z,0.40
8010,2026-06-04T23:50:00Z,0.20
8010,2026-06-05T00:00:00Z,0.20
8010,2026-06-05T00:10:00Z,0.40
8010,2026-06-05T00:20:00Z,0.40
8010,2026-06-05T00:30:00Z,0.40
8010,2026-06-05T00:40:00Z,0.80
8010,2026-06-05T00:50:00Z,0.60
8010,2026-06-05T01:00:00Z,0.60
8010,2026-06-05T01:10:00Z,0.60
8010,2026-06-05T01:20:00Z,1.00
8010,2026-06-05T01:30:00Z,0.60
8010,2026-06-05T01:40:00Z,0.80
8010,2026-06-05T01:50:00Z,0.80
8010,2026-06-05T02:00:00Z,0.60
8010,2026-06-05T02:10:00Z,0.40
8010,2026-06-05T02:20:00Z,0.40
8010,2026-06-05T02:30:00Z,0.40
8010,2026-06-05T02:40:00Z,0.40
8010,2026-06-05T02:50:00Z,0.40
8010,2026-06-05T03:00:00Z,0.40
8010,2026-06-05T03:10:00Z,0.20
8010,2026-06-05T03:30:00Z,0.20
8010,2026-06-05T04:00:00Z,0.20
8010,2026-06-05T06:10:00Z,0.20
8010,2026-06-05T07:20:00Z,0.20
8010,2026-06-05T08:00:00Z,0.60
8010,2026-06-05T08:10:00Z,0.80
8010,2026-06-05T08:20:00Z,0.80
8010,2026-06-05T08:30:00Z,0.80
8010,2026-06-05T08:40:00Z,0.40
8010,2026-06-05T08:50:00Z,0.80
8010,2026-06-05T09:00:00Z,0.40
8010,2026-06-05T09:10:00Z,0.20
8010,2026-06-05T09:30:00Z,0.20
2278,2026-06-02T07:40:00Z,0.20
2278,2026-06-02T07:50:00Z,0.80
2278,2026-06-02T08:00:00Z,1.00
2278,2026-06-02T08:10:00Z,3.80
2278,2026-06-02T08:20:00Z,3.00
2278,2026-06-02T08:30:00Z,1.40
2278,2026-06-02T08:40:00Z,0.60
2278,2026-06-02T08:50:00Z,0.20
2278,2026-06-02T09:00:00Z,0.80
2278,2026-06-02T09:10:00Z,0.20
2278,2026-06-02T09:20:00Z,0.20
2278,2026-06-02T09:30:00Z,0.20
2278,2026-06-02T09:40:00Z,0.20
2278,2026-06-02T10:00:00Z,0.20
2278,2026-06-02T10:10:00Z,0.20
2278,2026-06-02T10:20:00Z,0.80
2278,2026-06-02T10:30:00Z,0.20
2278,2026-06-02T10:40:00Z,0.40
2278,2026-06-02T10:50:00Z,0.40
2278,2026-06-02T11:00:00Z,1.80
2278,2026-06-02T11:10:00Z,2.00
2278,2026-06-02T11:20:00Z,1.00
2278,2026-06-02T11:30:00Z,0.40
2278,2026-06-02T11:40:00Z,0.60
2278,2026-06-02T11:50:00Z,0.60
2278,2026-06-02T12:00:00Z,1.80
2278,2026-06-02T12:10:00Z,2.60
2278,2026-06-02T12:20:00Z,1.60
2278,2026-06-02T12:30:00Z,1.00
2278,2026-06-02T12:40:00Z,0.20
2278,2026-06-02T16:50:00Z,1.40
2278,2026-06-02T17:00:00Z,1.40
2278,2026-06-02T17:10:00Z,0.40
2278,2026-06-02T17:20:00Z,0.60
2278,2026-06-02T17:30:00Z,1.20
2278,2026-06-02T17:40:00Z,0.60
2278,2026-06-02T17:50:00Z,2.00
2278,2026-06-02T18:00:00Z,4.40
2278,2026-06-02T18:10:00Z,2.20
2278,2026-06-02T18:20:00Z,1.20
2278,2026-06-02T18:30:00Z,1.20
2278,2026-06-02T18:40:00Z,1.40
2278,2026-06-02T18:50:00Z,3.00
2278,2026-06-02T19:00:00Z,4.40
2278,2026-06-02T19:10:00Z,2.40
2278,2026-06-02T19:20:00Z,1.40
2278,2026-06-02T19:30:00Z,1.40
2278,2026-06-02T19:40:00Z,0.80
2278,2026-06-02T19:50:00Z,0.40
2278,2026-06-02T20:00:00Z,0.20
2278,2026-06-02T20:40:00Z,0.20
2278,2026-06-02T22:40:00Z,0.20
2278,2026-06-02T22:50:00Z,0.40
2278,2026-06-02T23:00:00Z,0.20
2278,2026-06-02T23:10:00Z,0.20
2278,2026-06-02T23:20:00Z,0.20
2278,2026-06-02T23:30:00Z,0.40
2278,2026-06-02T23:40:00Z,0.20
2278,2026-06-02T23:50:00Z,0.20
2278,2026-06-03T00:00:00Z,0.20
2278,2026-06-03T00:10:00Z,0.20
2278,2026-06-03T00:20:00Z,0.20
2278,2026-06-03T00:40:00Z,0.20
2278,2026-06-03T00:50:00Z,0.20
2278,2026-06-03T01:50:00Z,0.20
8010,2026-06-02T05:30:00Z,0.20
8010,2026-06-02T05:50:00Z,0.20
8010,2026-06-02T07:10:00Z,0.20
8010,2026-06-02T07:20:00Z,0.80
8010,2026-06-02T07:30:00Z,1.00
8010,2026-06-02T07:40:00Z,1.00
8010,2026-06-02T07:50:00Z,1.20
8010,2026-06-02T08:00:00Z,1.00
8010,2026-06-02T08:10:00Z,0.20
8010,2026-06-02T08:30:00Z,0.20
8010,2026-06-02T10:30:00Z,1.00
8010,2026-06-02T10:40:00Z,0.40
8010,2026-06-02T10:50:00Z,0.20
8010,2026-06-02T11:10:00Z,0.20
8010,2026-06-02T11:30:00Z,0.20
8010,2026-06-02T11:50:00Z,0.20
8010,2026-06-02T12:00:00Z,0.80
8010,2026-06-02T12:10:00Z,0.40
8010,2026-06-02T12:20:00Z,1.20
8010,2026-06-02T12:30:00Z,1.40
8010,2026-06-02T12:40:00Z,1.20
8010,2026-06-02T12:50:00Z,1.40
8010,2026-06-02T13:00:00Z,1.40
8010,2026-06-02T13:10:00Z,1.60
8010,2026-06-02T13:20:00Z,1.00
8010,2026-06-02T13:30:00Z,1.40
8010,2026-06-02T13:40:00Z,1.60
8010,2026-06-02T13:50:00Z,1.80
8010,2026-06-02T14:00:00Z,2.00
8010,2026-06-02T14:10:00Z,2.40
8010,2026-06-02T14:20:00Z,1.20
8010,2026-06-02T14:30:00Z,0.80
8010,2026-06-02T14:40:00Z,0.40
8010,2026-06-02T15:00:00Z,0.20
8010,2026-06-02T18:40:00Z,0.20
8010,2026-06-02T18:50:00Z,0.20
8010,2026-06-02T19:00:00Z,0.40
8010,2026-06-02T19:10:00Z,0.20
8010,2026-06-02T19:20:00Z,0.40
8010,2026-06-02T19:30:00Z,0.60
8010,2026-06-02T19:40:00Z,0.60
8010,2026-06-02T19:50:00Z,1.00
8010,2026-06-02T20:00:00Z,1.00
8010,2026-06-02T20:10:00Z,1.20
8010,2026-06-02T20:20:00Z,1.20
8010,2026-06-02T20:30:00Z,1.40
8010,2026-06-02T20:40:00Z,1.00
8010,2026-06-02T20:50:00Z,0.60
8010,2026-06-02T21:00:00Z,0.60
8010,2026-06-02T21:10:00Z,1.00
8010,2026-06-02T21:20:00Z,0.60
8010,2026-06-02T21:30:00Z,0.40
8010,2026-06-02T21:40:00Z,0.20
8010,2026-06-02T22:00:00Z,0.20
8010,2026-06-02T22:30:00Z,0.20
8010,2026-06-03T01:00:00Z,0.20
8010,2026-06-03T01:40:00Z,0.20
8010,2026-06-03T02:30:00Z,0.20
2278,2026-06-02T00:20:00Z,0.40
2278,2026-06-02T00:30:00Z,0.40
2278,2026-06-02T00:50:00Z,0.20
2278,2026-06-02T01:20:00Z,0.20
2278,2026-06-02T01:40:00Z,1.60
2278,2026-06-02T01:50:00Z,0.20
2278,2026-06-02T02:00:00Z,0.20
2278,2026-06-02T02:10:00Z,0.20
2278,2026-06-02T02:30:00Z,0.20
2278,2026-06-02T05:00:00Z,1.80
2278,2026-06-02T05:10:00Z,1.80
2278,2026-06-02T05:20:00Z,0.20
2278,2026-06-02T06:00:00Z,0.20
2278,2026-05-31T22:50:00Z,0.20
2278,2026-05-31T23:10:00Z,0.20
2278,2026-05-31T23:30:00Z,0.60
2278,2026-05-31T23:40:00Z,0.40
2278,2026-06-01T00:00:00Z,0.20
2278,2026-07-26T15:30:00Z,0.60
2278,2026-07-26T15:40:00Z,1.60
2278,2026-07-26T15:50:00Z,0.20
8010,2026-07-25T23:50:00Z,1.00
8010,2026-07-26T00:00:00Z,1.20
8010,2026-07-26T00:10:00Z,0.60
8010,2026-07-26T00:20:00Z,0.40
8010,2026-07-26T01:30:00Z,0.20
8010,2026-07-26T02:30:00Z,0.60
8010,2026-07-26T02:40:00Z,1.80
8010,2026-07-26T02:50:00Z,0.60
8010,2026-07-26T03:00:00Z,0.20
8010,2026-07-26T03:30:00Z,0.20
8010,2026-07-26T05:00:00Z,0.20
8010,2026-07-26T07:30:00Z,0.20
8010,2026-07-26T09:00:00Z,0.20
