timestamp_utc,area_name,location_type,location_name,lat,lon,max_dbz,mean_dbz,min_dbz,max_mmh,mean_mmh,pixel_count,fetched_at_utc
2026-06-06T14:10:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T14:15:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T14:20:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T14:25:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T14:30:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T14:35:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T14:40:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T14:45:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T14:50:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T14:55:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T15:00:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
2026-06-06T15:05:00Z,ruspino,area,ruspino,,,0.00,0.00,0.00,0.036,0.036,39,2026-06-06T15:10:52Z
